"","Ent.Station","avg_wkday"
"1","Addison Road",3440.5
"2","Anacostia",7356.4
"3","Archives-Navy Memorial",9329.6
"4","Arlington Cemetery",1759.1
"5","Ballston",11812.6
"6","Benning Road",3067.2
"7","Bethesda",10666.5
"8","Braddock Road",4383.5
"9","Branch Avenue",6604.6
"10","Brookland",6672.7
"11","Capitol Heights",2097.2
"12","Capitol South",8630.3
"13","Cheverly",1507.8
"14","Clarendon",4651.1
"15","Cleveland Park",4637.5
"16","College Park-U of MD",4533.6
"17","Columbia Heights",12608.3
"18","Congress Heights",2912.2
"19","Court House",7309.1
"20","Crystal City",13323.9
"21","Deanwood",1761.2
"22","Dunn Loring",5116.7
"23","Dupont Circle",18291.8
"24","East Falls Church",4186.3
"25","Eastern Market",6038.7
"26","Eisenhower Avenue",2025.8
"27","Farragut North",26012.4
"28","Farragut West",22365.4
"29","Federal Center SW",6352.1
"30","Federal Triangle",9703.1
"31","Foggy Bottom",22413.2
"32","Forest Glen",2409.5
"33","Fort Totten",7442
"34","Franconia-Springfield",8884.9
"35","Friendship Heights",9519
"36","Gallery Place-Chinatown",25714.1
"37","Georgia Avenue-Petworth",6147.8
"38","Glenmont",6076.3
"39","Greenbelt",6767
"40","Grosvenor",5767.2
"41","Huntington",8900.5
"42","Judiciary Square",9120.3
"43","King Street",8893.3
"44","L'Enfant Plaza",21731.4
"45","Landover",2265.6
"46","Largo Town Center",5021.7
"47","McPherson Square",16538.4
"48","Medical Center",5949.5
"49","Metro Center",28199.5
"50","Minnesota Avenue",3132.9
"51","Morgan Blvd.",2227.3
"52","Mt. Vernon Square-UDC",4159.3
"53","Navy Yard",9662.7
"54","Naylor Road",3067.9
"55","New Carrollton",9566.7
"56","New York Ave",7860.5
"57","Pentagon",16788.3
"58","Pentagon City",16145.3
"59","Potomac Avenue",3879.1
"60","Prince George's Plaza",5196.6
"61","Reagan Washington National Airport",6198.6
"62","Rhode Island Avenue",5494.1
"63","Rockville",4735.3
"64","Rosslyn",16390.1
"65","Shady Grove",13653.2
"66","Shaw-Howard University",4658.7
"67","Silver Spring",13332.5
"68","Smithsonian",11671.6
"69","Southern Avenue",5766.9
"70","Stadium-Armory",2979
"71","Suitland",6213.6
"72","Takoma",6023.5
"73","Tenleytown-AU",7101.2
"74","Twinbrook",4542
"75","U Street-Cardozo",6847.1
"76","Union Station",32611.1
"77","Van Dorn Street",3488.9
"78","Van Ness-UDC",6624.4
"79","Vienna",13484
"80","Virginia Square-GMU",3663.5
"81","Waterfront",4440
"82","West Falls Church",10695.5
"83","West Hyattsville",3862
"84","Wheaton",4270.5
"85","White Flint",4078.7
"86","Woodley Park-Zoo",7679.7
